first_last,institution,country,position,event_type,year,event_role,gender
# eurobioc2023
Franka Voigt,University of Zurich,Switzerland,Assistant Professor,EuroBioC,keynote,2023,female
Emma Schymanski,University of Luxembourg,Luxembourg,Associate Professor,EuroBioC,keynote,2023,female
Raphael Gottardo,University of Lausanne,Switzerland,Professor,EuroBioC,keynote,2023,male
Yvan Saeys,Ghent University,Belgium,Professor,EuroBioC,keynote,2023,male
Isaac Virshup,Helmholtz Munich,Software Engineer,EuroBioC,keynote,2023,male
# euronbioc2022
Shila Ghazanfar,The University of Sydney,Australia,Research Associate,EuroBioC,keynote,2022,female
Michael Dorrity,EMBL,Germany,Group Leader,EuroBioC,keynote,2022,male
Judith Zaugg,EMBL,Germany,Group Leader,EuroBioC,keynote,2022,female
Björn Grüning,University of Freiburg,Galaxy team leader,Germany,EuroBioC,keynote,2022,male
Julio Saez-Rodriguez,Heidelberg University,Germany,Group leader,EuroBioC,keynote,2022,male
